occur_date,location,depth,magnitude,max_seismic_scale
2011/3/11 15:19,sea,33,5.7,4
2011/3/11 15:20,sea,34,5.8,4
2011/3/11 15:20,sea,62,5.7,3
2011/3/11 15:21,sea,6,6.2,3
2011/3/11 15:22,sea,42,4.6,3
2011/3/11 15:23,sea,31,6.1,4
2011/3/11 15:25,sea,11,7.5,4
2011/3/11 15:25,sea,40,4.6,3
2011/3/11 15:28,sea,25,5.2,3
2011/3/11 15:29,sea,15,6.9,3
2011/3/11 15:31,sea,16,5.7,3
2011/3/11 15:33,sea,40,6.4,3
2011/3/11 15:34,sea,39,5.5,3
2011/3/11 15:35,sea,38,5.1,4
2011/3/11 15:36,sea,16,5.1,3
2011/3/11 15:37,sea,33,4.8,3
2011/3/11 15:38,sea,24,5.6,3
2011/3/11 15:40,sea,48,5.9,4
2011/3/11 15:42,sea,9,6.2,3
2011/3/11 15:44,sea,40,5.4,4
2011/3/11 15:46,sea,38,5.6,4
2011/3/11 15:48,sea,42,4.5,3
2011/3/11 15:48,sea,43,5.2,3
2011/3/11 15:49,sea,23,5.6,3
2011/3/11 15:49,sea,7,5.9,4
2011/3/11 15:54,sea,48,5.2,3
2011/3/11 15:55,sea,79,5.4,3
2011/3/11 15:57,sea,28,6.2,4
2011/3/11 16:01,sea,38,5,3
2011/3/11 16:03,sea,23,5.8,3
2011/3/11 16:04,sea,24,5.7,4
2011/3/11 16:05,sea,27,5.7,4
2011/3/11 16:06,sea,8,3.6,3
2011/3/11 16:09,sea,37,5.5,3
2011/3/11 16:10,sea,27,6.2,3
2011/3/11 16:13,sea,50,5.8,3
2011/3/11 16:14,sea,25,6.8,4
2011/3/11 16:16,sea,48,5.3,3
2011/3/11 16:17,sea,20,6.5,4
2011/3/11 16:20,sea,0,3.9,3
2011/3/11 16:25,sea,40,6.2,3
2011/3/11 16:28,sea,39,5.6,4
2011/3/11 16:29,sea,17,6.6,5_upper
2011/3/11 16:30,sea,27,5.9,5_lower
2011/3/11 16:31,sea,39,5.4,3
2011/3/11 16:34,land,16,4.2,3
2011/3/11 16:34,sea,13,5.7,3
2011/3/11 16:37,sea,42,5,3
2011/3/11 16:38,sea,16,5.8,4
2011/3/11 16:40,sea,28,5.3,3
2011/3/11 16:42,sea,37,5.4,3
2011/3/11 16:44,sea,60,5.6,4
2011/3/11 16:45,sea,41,5,3
2011/3/11 16:49,sea,34,5.5,3
2011/3/11 16:54,sea,27,4.9,3
2011/3/11 16:54,sea,35,5.5,3
2011/3/11 16:56,sea,11,6.2,3
2011/3/11 17:00,sea,34,4.4,3
2011/3/11 17:01,sea,17,5.5,3
2011/3/11 17:03,sea,23,5.3,3
2011/3/11 17:04,sea,19,5.9,3
2011/3/11 17:10,sea,37,5.5,3
2011/3/11 17:12,sea,32,6.6,4
2011/3/11 17:15,sea,27,4.4,3
2011/3/11 17:19,sea,28,4.9,3
2011/3/11 17:19,sea,36,6.8,4
2011/3/11 17:27,sea,43,5.1,3
2011/3/11 17:27,sea,30,6.2,3
2011/3/11 17:31,sea,31,5.9,4
2011/3/11 17:32,sea,12,6,3
2011/3/11 17:35,sea,37,5.2,4
2011/3/11 17:40,land,4,4.2,3
2011/3/11 17:40,sea,30,6,5_upper
2011/3/11 17:46,sea,15,5.9,3
2011/3/11 17:47,sea,41,5.1,3
2011/3/11 17:50,sea,43,4,3
2011/3/11 17:52,sea,0,5.6,3
2011/3/11 17:54,sea,40,5,3
2011/3/11 17:56,sea,28,4.2,3
2011/3/11 17:56,sea,32,4.1,3
2011/3/11 17:58,land,3,4.1,4
2011/3/11 18:04,sea,17,5.3,4
2011/3/11 18:11,sea,41,4.6,3
2011/3/11 18:15,sea,35,4.8,3
2011/3/11 18:16,land,7,5.1,3
2011/3/11 18:19,sea,15,5,4
2011/3/11 18:26,sea,23,4.1,3
2011/3/11 18:27,sea,36,5.4,3
2011/3/11 18:33,sea,40,4.5,3
2011/3/11 18:34,sea,46,4.8,3
2011/3/11 18:37,sea,31,5.3,3
2011/3/11 18:42,sea,24,5.6,3
2011/3/11 18:44,sea,14,3.6,3
2011/3/11 18:46,sea,28,5.7,3
2011/3/11 18:52,sea,32,4.9,3
2011/3/11 18:55,sea,0,5.4,3
2011/3/11 18:57,sea,48,4.3,3
2011/3/11 19:09,land,9,4,3
2011/3/11 19:10,sea,31,4.7,3
2011/3/11 19:10,sea,44,6.2,4
2011/3/11 19:13,sea,46,5.3,3
2011/3/11 19:15,sea,36,4.6,3
2011/3/11 19:20,sea,12,5.8,3
2011/3/11 19:35,sea,49,5.1,4
2011/3/11 19:38,land,2,3.6,3
2011/3/11 19:40,land,4,3.5,3
2011/3/11 19:46,sea,47,4.8,3
2011/3/11 19:58,sea,32,4.9,4
2011/3/11 20:00,sea,46,5.5,4
2011/3/11 20:07,sea,48,4.3,3
2011/3/11 20:10,land,5,3.5,3
2011/3/11 20:16,sea,43,5.5,3
2011/3/11 20:21,sea,39,5.6,4
2011/3/11 20:28,sea,35,5.2,3
2011/3/11 20:30,sea,0,5.7,3
2011/3/11 20:31,land,9,5.2,4
